Type,SKU,Name,Published,Is featured?,Visibility in catalog,Short description,Description,Date sale price starts,Date sale price ends,Tax status,Tax class,In stock?,Stock,Low stock amount,Backorders allowed?,Sold individually?,Weight (lbs),Length (in),Width (in),Height (in),Allow customer reviews?,Purchase note,Sale price,Regular price,Categories,Tags,Shipping class,Images,Download limit,Download expiry days,Parent,Grouped products,Upsells,Cross-sells,External URL,Button text,Position,Attribute 1 name,Attribute 1 value(s),Attribute 1 visible,Attribute 1 global,Attribute 2 name,Attribute 2 value(s),Attribute 2 visible,Attribute 2 global,Attribute 3 name,Attribute 3 value(s),Attribute 3 visible,Attribute 3 global
,,Elvis Presley Three Quilt Blanket,,,,,,,,,,,,,,,,,,,,,,,,,,https://pod-product.s3.amazonaws.com/p018594-268dd43423ea411a9ce2afe002a9d2c1-primary-mockup-300x300.jpg,,,,,,,,,,,,,,,,,,,,,
,,Elvis Presley Four Quilt Blanket,,,,,,,,,,,,,,,,,,,,,,,,,,https://pod-product.s3.amazonaws.com/p018593-4a1c388494c14063b4117a31477c60ca-primary-mockup-300x300.jpg,,,,,,,,,,,,,,,,,,,,,
,,Elvis Presley Two Quilt Blanket,,,,,,,,,,,,,,,,,,,,,,,,,,https://pod-product.s3.amazonaws.com/p018592-39e7eb10f4ad461bb3ddb852933868a5-primary-mockup-300x300.jpg,,,,,,,,,,,,,,,,,,,,,
,,Neil Diamond Quilt Blanket,,,,,,,,,,,,,,,,,,,,,,,,,,https://pod-product.s3.amazonaws.com/p018591-5d9d14a527c2429aadfa4576c674ca8b-primary-mockup-300x300.jpg,,,,,,,,,,,,,,,,,,,,,
,,The Partridge Family Quilt Blanket,,,,,,,,,,,,,,,,,,,,,,,,,,https://pod-product.s3.amazonaws.com/p018590-9b71606cbb4e4e148ccf727931e38463-primary-mockup-300x300.jpg,,,,,,,,,,,,,,,,,,,,,
,,Whitney Houston Quilt Blanket,,,,,,,,,,,,,,,,,,,,,,,,,,https://pod-product.s3.amazonaws.com/p018589-42883bc1ed184ea49c29e177b2ba19b0-primary-mockup-300x300.jpg,,,,,,,,,,,,,,,,,,,,,
,,ABBA Quilt Blanket,,,,,,,,,,,,,,,,,,,,,,,,,,https://pod-product.s3.amazonaws.com/p018588-86441d6432cb4561b43cbbb04c2f1d61-primary-mockup-300x300.jpg,,,,,,,,,,,,,,,,,,,,,
,,Michael jackson Quilt Blanket,,,,,,,,,,,,,,,,,,,,,,,,,,https://pod-product.s3.amazonaws.com/p018586-81963e43bb6d4751a6040811d2caf6a6-primary-mockup-300x300.jpg,,,,,,,,,,,,,,,,,,,,,
,,Lady gaga Quilt Blanket,,,,,,,,,,,,,,,,,,,,,,,,,,https://pod-product.s3.amazonaws.com/p018584-5800c6a700e74ef88f81a9a1628a5ce2-primary-mockup-300x300.jpg,,,,,,,,,,,,,,,,,,,,,
,,Keith Urban Quilt Blanket,,,,,,,,,,,,,,,,,,,,,,,,,,https://pod-product.s3.amazonaws.com/p018583-5dfe955ac18c43c689034f3e7c3b21a9-primary-mockup-300x300.jpg,,,,,,,,,,,,,,,,,,,,,
,,Louise Hay Quilt Blanket,,,,,,,,,,,,,,,,,,,,,,,,,,https://pod-product.s3.amazonaws.com/p018582-0a280cf920d14d66b4b9714eb215b19f-primary-mockup-300x300.jpg,,,,,,,,,,,,,,,,,,,,,
,,Madness Quilt Blanket,,,,,,,,,,,,,,,,,,,,,,,,,,https://pod-product.s3.amazonaws.com/p018581-d25d52601e2c4979868f07c45aef3b25-primary-mockup-300x300.jpg,,,,,,,,,,,,,,,,,,,,,
,,Alanis Morissette Quilt Blanket,,,,,,,,,,,,,,,,,,,,,,,,,,https://pod-product.s3.amazonaws.com/p018340-080a405b8b354d84b93f67f88242655d-primary-mockup-300x300.jpg,,,,,,,,,,,,,,,,,,,,,
,,Stephen King Books Quilt Blanket,,,,,,,,,,,,,,,,,,,,,,,,,,https://pod-product.s3.amazonaws.com/p018162-68dea3878afa4e9ea8904321793f4ff3-primary-mockup-300x300.jpg,,,,,,,,,,,,,,,,,,,,,
,,Wilco Quilt Blanket,,,,,,,,,,,,,,,,,,,,,,,,,,https://pod-product.s3.amazonaws.com/p018151-2ff8cef7f99048cdbfd9dfabb1d01a00-primary-mockup-300x300.jpg,,,,,,,,,,,,,,,,,,,,,
,,Steve Miller Band Quilt Blanket,,,,,,,,,,,,,,,,,,,,,,,,,,https://pod-product.s3.amazonaws.com/p018150-9332168a180f4341a024e3b72e0f3263-primary-mockup-300x300.jpg,,,,,,,,,,,,,,,,,,,,,
,,Linkin Park Quilt Blanket,,,,,,,,,,,,,,,,,,,,,,,,,,https://pod-product.s3.amazonaws.com/p018149-d0009cb75cc44bbe92bfaa2d688b0604-primary-mockup-300x300.jpg,,,,,,,,,,,,,,,,,,,,,
,,Mariah Carey Quilt Blanket,,,,,,,,,,,,,,,,,,,,,,,,,,https://pod-product.s3.amazonaws.com/p018148-83b9a366c5d742eb99d81162a4df9f7b-primary-mockup-300x300.jpg,,,,,,,,,,,,,,,,,,,,,
,,Devo Quilt Blanket,,,,,,,,,,,,,,,,,,,,,,,,,,https://pod-product.s3.amazonaws.com/p018147-b134e56b36d54f66b1523004760a42b8-primary-mockup-300x300.jpg,,,,,,,,,,,,,,,,,,,,,
,,Spoon Quilt Blanket,,,,,,,,,,,,,,,,,,,,,,,,,,https://pod-product.s3.amazonaws.com/p018146-efb009e0dc1842b990b492e47ba14bc6-primary-mockup-300x300.jpg,,,,,,,,,,,,,,,,,,,,,
